a,a,1
about,約,1
after,後,1
afternoon,午後,1
again,再び,1
ago,前,1
all,すべて,1
almost,ほとんど,1
alone,一人で,1
also,また,1
always,常に,1
am,午前,1
amazing,すごい,1
America,アメリカ,1
American,アメリカ人,1
an,の,1
and,そして,1
Andy,アンディ,1
animal,動物,1
answer,回答,1
any,どれか,1
anyone,誰でも,1
anything,何でも,1
Apollo 11,アポロ11号,1
apple,林檎,1
April,4月,1
are,は,1
around,周りに,1
arrive,着く,1
art,アート,1
at,で,1
August,八月,1
aunt,叔母,1
baby,赤ちゃん,1
back,バック,1
bag,バッグ,1
Baker Street,ベイカーストリート,1
ball,玉,1
baseball,野球,1
basketball,バスケットボール,1
bath,バス,1
be,なる,1
bear,くま,1
beautiful,綺麗な,1
because,なぜなら,1
Becky,ベッキー,1
bed,ベッド,1
bedroom,寝室,1
behind,後ろに,1
beside,横に,1
big,大きい,1
bike,自転車,1
Bill,ビル,1
bird,鳥,1
birthday,お誕生日,1
biryani,ビリヤニ,1
black,黒,1
blue,青い,1
book,本,1
booth,ブース,1
bottle,ボトル,1
box,ボックス,1
boy,男の子,1
break,ブレーク,1
breakfast,朝ごはん,1
broke,壊れた,1
brother,兄,1
brown,褐色,1
brush,みがきます,1
bus,バス,1
busy,忙しい,1
but,だが,1
by,沿って,1
cake,ケーキ,1
came,来た,1
camera,カメラ,1
can,できる,1
Canada,カナダ,1
cannot,できない,1
cap,キャップ,1
car,車,1
Carlos,カルロス,1
Carol,キャロル,1
cat,ネコ,1
catch,キャッチ,1
CD,CD,1
chance,機会,1
change,変化する,1
chapati,チャパティ,1
chicken,チキン,1
Chinese,中国人,1
city,市,1
class,クラス,1
classmate,同級生,1
clean,掃除,1
close,閉じる,1
clothes,服,1
cloudy,曇り,1
club,クラブ,1
coffee,コーヒー,1
cold,コールド,1
collect,集める,1
color,色,1
come,来る,1
comic,漫画,1
computer,コンピューター,1
Conan Doyle,コナン・ドイル,1
cook,クック,1
cooking,料理,1
cool,涼しい,1
cousin,いとこ,1
crane,クレーン,1
curry,カレー,1
cut,切る,1
cute,可愛い,1
dad,パパ,1
dance,ダンス,1
Daniel Gordon,ダニエル・ゴードン,1
date,日付,1
daughter,娘,1
day,日,1
dear,親愛な,1
December,12月,1
desk,机,1
detective,探偵,1
Dick,ディック,1
did,した,1
difficult,難しい,1
dinner,晩ごはん,1
dish,皿,1
do,行う,1
does,する,1
dog,犬,1
doll,人形,1
dollar,ドル,1
dolphin,イルカ,1
door,ドア,1
down,ダウン,1
Dr. Watson,ワトソン博士,1
dress,ドレス,1
drink,ドリンク,1
dry,ドライ,1
each,各,1
early,早い,1
eat,食べる,1
egg,卵,1
eight,8,1
eighteen,18,1
eighth,第8,1
eighty,80人,1
eleven,十一,1
eleventh,十一,1
Emily,エミリー,1
Emma,エマ,1
end,終わり,1
English,英語,1
enjoy,楽しい,1
evening,イブニング,1
every,毎,1
everyone,全員,1
Excuse me.,すみません。,1
fall,秋,1
family,家族,1
famous,有名な,1
fan,ファン,1
fast,速い,1
father,お父さん,1
February,2月,1
fifteen,15,1
fifth,第五,1
fifty,五十,1
fin,フィン,1
finally,最後に,1
fine,元気,1
first,最初,1
fish,魚,1
five,五,1
Flash 7,フラッシュ7,1
floor,床,1
fly,飛ぶ,1
fold,折る,1
follow,従う,1
food,食物,1
for,ために,1
forty,四十,1
four,四,1
fourteen,十四,1
fourth,第4,1
fox,狐,1
French,フランス語,1
Friday,金曜日,1
friend,友達,1
from,から,1
game,ゲーム,1
gesture,ジェスチャー,1
get,取得する,1
giant,巨人,1
girl,女の子,1
go,行く,1
good,良い,1
goodbye,さようなら,1
gosh,まあ,1
got,得た,1
gram,グラム,1
grandma,おばあちゃん,1
grandpa,おじいちゃん,1
gray,グレー,1
great,すごい,1
green,緑,1
group,グループ,1
guitar,ギター,1
had,持っていました,1
hair,ヘア,1
hand,手,1
hard,ハード,1
has,持っている,1
hat,帽子,1
have,持ってる,1
he,彼,1
head,頭,1
heave ho,どっこい,1
hello,こんにちは,1
help,助けて,1
her,彼女,1
here,ここに,1
hers,彼女の,1
hi,こんにちは,1
high,高い,1
high school,高校,1
hill,丘,1
him,彼,1
his,彼の,1
history,歴史,1
hold,ホールド,1
home,家,1
homework,宿題,1
hot,ホット,1
hour,時間,1
house,家,1
how,どうやって,1
hundred,百,1
hurry,急ぐ,1
I,私,1
ice cream,アイスクリーム,1
idea,考え,1
in,に,1
India,インド,1
Indian,インド人,1
interesting,面白い,1
Internet,インターネット,1
into,に,1
is,です,1
it,それ,1
its,その,1
